,book_rank,book_poster,book_name,book_writer,book_rating,book_review,book_price
164,165,"https://images-eu.ssl-images-amazon.com/images/I/61MLInWDeJL._AC_UL302_SR302,200_.jpg",How to Talk to Anyone: 92 Little Tricks for Big Success in Relationships,Leil Lowndes,4.4,7261,215.00
165,166,"https://images-eu.ssl-images-amazon.com/images/I/91f6CGHo7xL._AC_UL302_SR302,200_.jpg",Computer Science with Python Textbook for Class 11 - Examination 2022-2023,Sumita Arora,4.5,1739,524.00
166,167,"https://images-eu.ssl-images-amazon.com/images/I/51nVWx23RvL._AC_UL302_SR302,200_.jpg",Inner Engineering: A Yogi’s Guide to Joy - English,Sadhguru,4.6,16224,214.00
167,168,"https://images-eu.ssl-images-amazon.com/images/I/41NjZo008XL._AC_UL302_SR302,200_.jpg",Can't hurt me by David goggins,David Goggins,4.5,54539,189.00
168,169,"https://images-eu.ssl-images-amazon.com/images/I/916fuxlx90L._AC_UL302_SR302,200_.jpg",A MAN CALLED OVE (B FORMAT),Fredrik Backman,4.6,43545,251.00
169,170,"https://images-eu.ssl-images-amazon.com/images/I/81GHhVy+P8L._AC_UL302_SR302,200_.jpg",27 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995 - 2021) 12th Edition,Mrunal Patel,4.5,3234,340.00
170,171,"https://images-eu.ssl-images-amazon.com/images/I/71VPHyRTNiL._AC_UL302_SR302,200_.jpg",Utkarsh Current Affairs Adhvarshiki - January 2022 se June 2022 tak (Sabhi Pratiyogi Parikshao ke liye Ramban) {With FREE Arihant Bharat ka Samvidhan Wall Chart},Kumar Gaurav,1.0,2,60.50
171,172,"https://images-eu.ssl-images-amazon.com/images/I/71+3qmU3VNL._AC_UL302_SR302,200_.jpg",A Modern Approach To Verbal & Non-Verbal Reasoning (2 Colour Edition),R.S. Aggarwal,4.4,12245,632.00
172,173,"https://images-eu.ssl-images-amazon.com/images/I/61b5aPmEhzL._AC_UL302_SR302,200_.jpg",Think and Grow Rich,Napoleon Hill,4.5,75044,99.00
173,174,"https://images-eu.ssl-images-amazon.com/images/I/81nZaGgPAGL._AC_UL302_SR302,200_.jpg",The Hidden Hindu,Akshat Gupta,4.4,436,175.00
174,175,"https://images-eu.ssl-images-amazon.com/images/I/61DCtdc8ofL._AC_UL302_SR302,200_.jpg",11 Years Solved Papers IIT JEE Advanced & IIT JEE 2022,Arihant Experts,4.5,29,340.00
175,176,"https://images-eu.ssl-images-amazon.com/images/I/71uRj5oL0IL._AC_UL302_SR302,200_.jpg",NEET Objective Physics Volume 1,DC Pandey,4.3,31,502.00
176,177,"https://images-eu.ssl-images-amazon.com/images/I/71jWK5-fBML._AC_UL302_SR302,200_.jpg",Bhagavad Gita Original in English - Bhagavad Gita as It is Original in English,A. C. Bhaktivedanta Swami Prabhupad,4.8,3609,220.00
177,178,"https://images-eu.ssl-images-amazon.com/images/I/91KCV2Bq+xL._AC_UL302_SR302,200_.jpg",Word Power Made Easy By Norman Lewis (More than 700 Pages),Norman Lewis,4.4,595,100.00
178,179,"https://images-eu.ssl-images-amazon.com/images/I/91JO2pVO7RL._AC_UL302_SR302,200_.jpg","Death; An Inside Story: A book for all those who shall die by Sadguru: Spiritual Book that talks about life’s amazing secret, Motivational Book for transformation, Non-fiction, Penguin",Sadhguru,4.7,9770,195.00
179,180,"https://images-eu.ssl-images-amazon.com/images/I/717Kt7vqvhL._AC_UL302_SR302,200_.jpg",T.S. Grewal's Double Entry Book Keeping: Financial Accounting Textbook for CBSE Class 11 (as per 2022-23 syllabus),T.S. Grewal,4.3,69,510.00
180,181,"https://images-eu.ssl-images-amazon.com/images/I/61ruD5Uk7cS._AC_UL302_SR302,200_.jpg",Price Action Trading : Technical Analysis Simplified!,Sunil Gurjar (Chartmojo),4.3,864,340.00
181,182,"https://images-eu.ssl-images-amazon.com/images/I/51I9-NCP6QL._AC_UL302_SR302,200_.jpg",Oxford School Atlas: India's Most Trusted Atlas 36th edition,Oxford,4.5,2850,312.00
182,183,"https://images-eu.ssl-images-amazon.com/images/I/91PQFpYWLwL._AC_UL302_SR302,200_.jpg",Something I Never Told You,Shravya Bhinder,4.3,1957,182.00
183,184,"https://images-eu.ssl-images-amazon.com/images/I/81+x6eHkSdS._AC_UL302_SR302,200_.jpg",Wuthering Heights,Emily Brontë,4.5,18970,109.00
184,185,"https://images-eu.ssl-images-amazon.com/images/I/91z0JhL6RwL._AC_UL302_SR302,200_.jpg",Target High 6th Premium Edition,MUTHUVENKATACHALAM S.,4.5,1567,"1,134.00"
185,186,"https://images-eu.ssl-images-amazon.com/images/I/81v8p68bDtL._AC_UL302_SR302,200_.jpg",TT-POWER Magic Book for Kids (4 Books 1 Pen 1 Hand Grip 10 Refill) Calligraphy Practice Copy Self Deleting Text book Practice Hand Writing and Pen Using Skills Reusable Writing Text Book For Kids age 3+,TT-POWER,4.3,27,299.00
186,187,"https://images-eu.ssl-images-amazon.com/images/I/61EEFRmO3gL._AC_UL302_SR302,200_.jpg",Ankit Bhati UPSSSC PET 2022 New Edition,ANKIT BHATI,,,275.00
187,188,"https://images-eu.ssl-images-amazon.com/images/I/810HHkgmfnL._AC_UL302_SR302,200_.jpg","National Science Olympiad (NSO) Work Book for Class 7 - Quick Recap, MCQs, Previous Years Solved Paper and Achievers Section - Olympiad Books For 2022-2023 Exam",ANIL AHLAWAT,4.3,14,85.00
188,189,"https://images-eu.ssl-images-amazon.com/images/I/710GgrTea1L._AC_UL302_SR302,200_.jpg","Moral Story Books for Kids (Set of 10 Books) (Illustrated) - English Short Stories with Colourful Pictures - Bedtime Children Story Book - 3 Years to 6 Years Old Children - Read Aloud to Infants, Toddlers",Maple Press,4.5,487,228.00
189,190,"https://images-eu.ssl-images-amazon.com/images/I/51-ZGB6N4LL._AC_UL302_SR302,200_.jpg",Rituals of Happy Soul,Deepanshu Giri,4.9,38,216.00
190,191,"https://images-eu.ssl-images-amazon.com/images/I/91A0IBL2wvL._AC_UL302_SR302,200_.jpg","Oswaal CBSE Class 10 English, Science, Social Science & Math Standard Question Bank (Set of 4 Books) (For 2022-23 Exam)",Oswaal Editorial Board,4.5,876,"2,105.00"
191,192,"https://images-eu.ssl-images-amazon.com/images/I/71XWX3Kz0QL._AC_UL302_SR302,200_.jpg","Jumbo Colouring Book - Activity Colouring Book for 3 to 5 years old kids - Gift to children for painting, drawing and colouring with reference guide",Maple Press,4.4,906,81.00
192,193,"https://images-eu.ssl-images-amazon.com/images/I/814g-2DDOFL._AC_UL302_SR302,200_.jpg","International English Olympiad (IEO) Work Book for Class 5 - MCQs, Previous Years Solved Paper and Achievers Section - Olympiad Books For 2022-2023 Exam",ZARRIN ALI KHAN,4.1,22,85.00
193,194,"https://images-eu.ssl-images-amazon.com/images/I/91cT3yhaz+L._AC_UL302_SR302,200_.jpg",Introductory Microeconomics for Class 11 (Examination 2022-2023),Sandeep Garg,4.5,238,340.00
194,195,"https://images-eu.ssl-images-amazon.com/images/I/7122h3jWvEL._AC_UL302_SR302,200_.jpg","Blossom Moral Story Book for Kids 3 Years to 6 Years Old in English | 31 Fairy Tale Stories with Colourful Pictures | Best Bedtime Children Story Book | Short Stories for Infants, Toddlers | Book A [Paperback] Content Team at Target Publications",TARGET PUBLICATIONS,4.4,1902,68.00
195,196,"https://images-eu.ssl-images-amazon.com/images/I/61Ki8JFNj9L._AC_UL302_SR302,200_.jpg",Objective General English,SP Bakshi,4.3,1151,150.00
196,197,"https://images-eu.ssl-images-amazon.com/images/I/715dHWJflpL._AC_UL302_SR302,200_.jpg",She Stood By Me,Tarun Vikash,4.5,477,128.00
197,198,"https://images-eu.ssl-images-amazon.com/images/I/71+n2VSAiXS._AC_UL302_SR302,200_.jpg",The Time Machine,H. G. Wells,4.4,2817,99.00
198,199,"https://images-eu.ssl-images-amazon.com/images/I/81N1POIpxwL._AC_UL302_SR302,200_.jpg",The Illustrated Stories Of Akbar and Birbal: Classic Tales From India,Wonder House Books,4.6,2178,136.00
199,200,"https://images-eu.ssl-images-amazon.com/images/I/71JtTimU2dL._AC_UL302_SR302,200_.jpg","National Science Olympiad (NSO) Work Book for Class 4 - Quick Recap, MCQs, Previous Years Solved Paper and Achievers Section - Olympiad Books For 2022-2023 Exam",ANIL AHLAWAT,4.7,21,85.00
200,201,"https://images-eu.ssl-images-amazon.com/images/I/71fU-w9xCLL._AC_UL302_SR302,200_.jpg",The Magicians of Mazda Paperback – 21 May 2022,Ashwin Sanghi,4.5,849,245.00
201,202,"https://images-eu.ssl-images-amazon.com/images/I/71LaJylkUvL._AC_UL302_SR302,200_.jpg",Wise and Otherwise: A salute to Life,Sudha Murty,4.6,4789,175.00
202,203,"https://images-eu.ssl-images-amazon.com/images/I/71GPF3vuGwL._AC_UL302_SR302,200_.jpg","5 Lb. Book Of Gre Practice Problems: 1, 800+ Practice Problems In Book And Online (Manhattan Prep 5 Lb Series (2019 Edition))",Manhattan Prep,4.5,4390,590.00
203,204,"https://images-eu.ssl-images-amazon.com/images/I/81JkY8MrorL._AC_UL302_SR302,200_.jpg",Fruits Copy Colour Book for Kids Age 1 -6 Years - Drawing and Painting Book for Early Learners (Copy Colour Books),Dreamland Publications,4.3,3130,52.00
204,205,"https://images-eu.ssl-images-amazon.com/images/I/613KCs7szvL._AC_UL302_SR302,200_.jpg",Ugly Love: A Novel,Colleen Hoover,4.4,59500,280.00
205,206,"https://images-eu.ssl-images-amazon.com/images/I/71j25Ib5FSL._AC_UL302_SR302,200_.jpg",The Summer I Turned Pretty,Jenny Han,4.5,11823,338.00
206,207,"https://images-eu.ssl-images-amazon.com/images/I/91GT-Z3cJcL._AC_UL302_SR302,200_.jpg","The Magic Drum and Other Favourite Stories: Sudha Murty’s collection of 30+ classic short stories and folk tales for children, ages 9-12",Sudha Murty,4.7,2859,170.00
207,208,"https://images-eu.ssl-images-amazon.com/images/I/91NWXSxsbHL._AC_UL302_SR302,200_.jpg",Moral Stories for Children -Set of 10 Illustrated Books (Packed in a Gift Box),Om Books Editorial Team,4.3,313,319.00
208,209,"https://images-eu.ssl-images-amazon.com/images/I/81J6APjwxlL._AC_UL302_SR302,200_.jpg",The Midnight Library,Matt Haig,4.4,171279,227.00
209,210,"https://images-eu.ssl-images-amazon.com/images/I/817obmPcT-L._AC_UL302_SR302,200_.jpg",India's Struggle for Independence: 1857-1947,Bipan Chandra,4.5,7252,259.00
210,211,"https://images-eu.ssl-images-amazon.com/images/I/71V5TSa9W1S._AC_UL302_SR302,200_.jpg",Babylon Ka Sabse Ameer Aadami (The Richest Man in Babylon in Hindi): Hindi Translation of International Bestseller,George S. Clason,4.5,3382,108.00
211,212,"https://images-eu.ssl-images-amazon.com/images/I/71TW9h68XpL._AC_UL302_SR302,200_.jpg",28 Varsh UPSC Civil Services IAS Prarambhik Topic-wise Solved Papers 1 & 2 (1995 - 2022) 12th Edition,Mrunal Patel,3.8,14,350.00
212,213,"https://images-eu.ssl-images-amazon.com/images/I/71lEjM64ATS._AC_UL302_SR302,200_.jpg",The Compound Effect,Darren Hardy,4.6,11426,197.00
213,214,"https://images-eu.ssl-images-amazon.com/images/I/91M3Uob-o5L._AC_UL302_SR302,200_.jpg",365 Colouring Book for Kids - Painting and Drawing Book with 368 Big Pictures,Dreamland Publications,4.5,4964,245.00
214,215,"https://images-eu.ssl-images-amazon.com/images/I/714Qz-liM8S._AC_UL302_SR302,200_.jpg",The Bird with Golden Wings: Stories of Wit and Magic,Sudha Murty,4.7,2591,139.00
215,216,"https://images-eu.ssl-images-amazon.com/images/I/71FuCnc9OwL._AC_UL302_SR302,200_.jpg",vashista 360 spoken english book,vamshi krishna,4.2,6129,259.00
216,217,"https://images-eu.ssl-images-amazon.com/images/I/91cXJfLzMML._AC_UL302_SR302,200_.jpg",Ladybird Big Noisy Book: Farm Hullaballoo!,Ladybird,4.6,1824,411.00
217,218,"https://images-eu.ssl-images-amazon.com/images/I/81wrdVeibxL._AC_UL302_SR302,200_.jpg",All set to Read-A Phonic Reader-Level 1- PHONICS READERS- 6 books in a Box: Box set,Om Books Editorial Team,4.5,2064,498.00
218,219,"https://images-eu.ssl-images-amazon.com/images/I/71dreQY9PuL._AC_UL302_SR302,200_.jpg",Manorama English Yearbook 2022,Mammen Mathew,4.6,1046,230.00
219,220,"https://images-eu.ssl-images-amazon.com/images/I/617ZptzMlAL._AC_UL302_SR302,200_.jpg",Vision IAS Current Affairs June 2022 English Medium (Hard cover Binding),Vision IAS,1.0,1,40.00
220,221,"https://images-eu.ssl-images-amazon.com/images/I/7199+yIUJ-L._AC_UL302_SR302,200_.jpg",Twisted Love - Special Edition,Ana Huang,4.5,1768,227.05
221,222,"https://images-eu.ssl-images-amazon.com/images/I/71obYq7QPYL._AC_UL302_SR302,200_.jpg",Mathematics for Class 7 - CBSE - by R.D. Sharma Examination 2022-2023,R.D. Sharma,4.6,2400,375.00
222,223,"https://images-eu.ssl-images-amazon.com/images/I/61a2DAGKiiL._AC_UL302_SR302,200_.jpg",You Can Heal Your Life,Louise L. Hay,4.6,4508,324.00
223,224,"https://images-eu.ssl-images-amazon.com/images/I/81QQEFj7jBL._AC_UL302_SR302,200_.jpg","International English Olympiad (IEO) Work Book for Class 4 - MCQs, Previous Years Solved Paper and Achievers Section - Olympiad Books For 2022-2023 Exam",ZARRIN ALI KHAN,4.5,17,85.00
224,225,"https://images-eu.ssl-images-amazon.com/images/I/81QBOgBjeaL._AC_UL302_SR302,200_.jpg","International Mathematics Olympiad (IMO) Work Book for Class 8 - MCQs, Previous Years Solved Paper and Achievers Section - Olympiad Books For 2022-2023 Exam",MAHABIR SINGH,4.6,20,85.00
225,226,"https://images-eu.ssl-images-amazon.com/images/I/719OAEfLM8S._AC_UL302_SR302,200_.jpg",Dhan-Sampatti Ka Manovigyan (The Psychology of Money),Morgan Housel,4.3,1362,135.00
226,227,"https://images-eu.ssl-images-amazon.com/images/I/71WUqJmAgaL._AC_UL302_SR302,200_.jpg",System Design Interview – An Insider's Guide,Alex Xu,4.1,227,289.00
227,228,"https://images-eu.ssl-images-amazon.com/images/I/71QmQucSriL._AC_UL302_SR302,200_.jpg",Where Is Baby's Belly Button? (Karen Katz Lift-the-Flap Books),Karen Katz,4.5,11775,194.35
228,229,"https://images-eu.ssl-images-amazon.com/images/I/81THkSRM1BL._AC_UL302_SR302,200_.jpg","Cursive Writing Books (Set of 5 Books) (Handwriting Practice Books) - Small Letters, Capital Letters, Joining Letters, Sentences, Words for Age 3-7: ... Letters, Joing Letters, Sentences, Words",Maple Press,4.5,735,280.00
229,230,"https://images-eu.ssl-images-amazon.com/images/I/81PdkxXJObL._AC_UL302_SR302,200_.jpg","The Boy, The Mole, The Fox and The Horse",Charlie Mackesy,4.8,61136,598.00
230,231,"https://images-eu.ssl-images-amazon.com/images/I/81N+Kwq0dsL._AC_UL302_SR302,200_.jpg",PMF IAS Environment for UPSC 2022-23,PMF IAS,4.7,1668,490.00
231,232,"https://images-eu.ssl-images-amazon.com/images/I/61LyzXP2VaL._AC_UL302_SR302,200_.jpg",,,3.6,28,163.90
232,233,"https://images-eu.ssl-images-amazon.com/images/I/81Im3iDKwLL._AC_UL302_SR302,200_.jpg",Reusable Wipe And Clean Book - Capital Letters : Write And Practice Capital Letters (Reusable Wipe and Clean Books),Wonder House Books,4.3,720,139.00
233,234,"https://images-eu.ssl-images-amazon.com/images/I/81qgEPE6k1L._AC_UL302_SR302,200_.jpg",The 7 Habits of Highly Effective People,Stephen R. Covey,4.5,9916,349.00
234,235,"https://images-eu.ssl-images-amazon.com/images/I/61oRH4y27jL._AC_UL302_SR302,200_.jpg",Cracking the Coding Interview (Indian Edition),Gayle Laakmann McDowell,4.6,2647,599.00
235,236,"https://images-eu.ssl-images-amazon.com/images/I/811KkWK08ZS._AC_UL302_SR302,200_.jpg",How to Prepare For DATA INTERPRETATION For CAT ( With CAT Practice Tests on Pull Marks ) | 7th Edition,Arun Sharma,4.5,863,418.00
236,237,"https://images-eu.ssl-images-amazon.com/images/I/71IbKBw8tdL._AC_UL302_SR302,200_.jpg",101 Copy Coloring: Fun Activity Book For Children,Wonder House Books,4.5,1232,155.00
237,238,"https://images-eu.ssl-images-amazon.com/images/I/81MCXVaDaDL._AC_UL302_SR302,200_.jpg",Indian Economy (English| 3rd Edition) | UPSC | Civil Services Exam | State Administrative Exams,Nitin Singhania,4.6,169,560.00
238,239,"https://images-eu.ssl-images-amazon.com/images/I/81GXgV+ZdNS._AC_UL302_SR302,200_.jpg",How to Prepare For LOGICAL REASONING For CAT ( With CAT Practice Tests on Pull Marks ) | 6th Edition,Arun Sharma,4.5,834,520.00
239,240,"https://images-eu.ssl-images-amazon.com/images/I/81dMfrSyzlL._AC_UL302_SR302,200_.jpg",Ruskin Bond - Best Selling Children Story Books Collection (Set of 4 Books),Ruskin Bond,4.5,3462,490.00
240,241,"https://images-eu.ssl-images-amazon.com/images/I/71WI1r5j6HS._AC_UL302_SR302,200_.jpg",Animal Farm,George Orwell,4.6,43801,59.00
241,242,"https://images-eu.ssl-images-amazon.com/images/I/81ZBVOancOL._AC_UL302_SR302,200_.jpg","International English Olympiad (IEO) Work Book for Class 7 - MCQs, Previous Years Solved Paper and Achievers Section - Olympiad Books For 2022-2023 Exam",ZARRIN ALI KHAN,4.4,18,85.00
242,243,"https://images-eu.ssl-images-amazon.com/images/I/710HZ8zkZqL._AC_UL302_SR302,200_.jpg",Brain Activity Book for Kids - 200+ Activities for Age 4+,Maple Press,4.5,253,81.00
243,244,"https://images-eu.ssl-images-amazon.com/images/I/81YRlhnJvgL._AC_UL302_SR302,200_.jpg",FAMOUS FIVE: 01: FIVE ON A TREASURE ISLAND (STANDARD),Enid Blyton,4.6,2621,133.00
244,245,"https://images-eu.ssl-images-amazon.com/images/I/813ExjDkhxS._AC_UL302_SR302,200_.jpg",Relativity: The Special and the General Theory,Albert Einstein,4.5,3605,137.00
245,246,"https://images-eu.ssl-images-amazon.com/images/I/71H9cA7MvxS._AC_UL302_SR302,200_.jpg",The Art of War,Sun Tzu,4.3,10546,71.00
246,247,"https://images-eu.ssl-images-amazon.com/images/I/81P4+L4dGfL._AC_UL302_SR302,200_.jpg","Before the Coffee Gets Cold: A Novel (Before the Coffee Gets Cold Series, 1)",Toshikazu Kawaguchi,4.4,7954,331.00
247,248,"https://images-eu.ssl-images-amazon.com/images/I/61fi91+URuL._AC_UL302_SR302,200_.jpg",UPSSSC PET Preliminary Exam Guide for Group C & Other Posts 2022 Hindi,Arihant Experts,4.6,17,167.00
248,249,"https://images-eu.ssl-images-amazon.com/images/I/81r9aclIS8L._AC_UL302_SR302,200_.jpg",Oswaal CBSE Class 9 Science Chapterwise & Topicwise Question Bank Book (For 2022-23 Exam),Oswaal Editorial Board,4.4,35,360.89
249,250,"https://images-eu.ssl-images-amazon.com/images/I/81gepf1eMqL._AC_UL302_SR302,200_.jpg",To Kill a Mockingbrd,Harper Lee,4.5,57933,245.00
